name,lon,lat,osm_id,osm_type,wikidata,place,
Mocubela,-68.4500566,-17.1665906,3421730098,node,,,
Corocoro,111.0399299,-6.7534288,1368677128,node,,,
Pati,130.3965785,42.33957,262265716,node,,,
Sonbong,128.75158,36.58402,2094693044,node,,,
Anmakdong,117.9275885,40.9724626,415158327,node,,,
ChengDe,24.1715794,-7.5094813,3953329121,node,,,
Kanyama,119.8537084,-3.093299,621169404,node,,,
Makale,115.0235943,35.7135322,4628990278,node,,,
Puyang,27.9938589,2.1435115,3719475445,node,,,
Wamba,0.9195302,14.7336301,613450119,node,,,
Ayorou,49.6890692,34.0863473,464409845,node,,,
Arak,114.9028387,27.0429233,4698589016,node,,,
Ji'an,-69.996643,60.025069,4460114689,node,,,
Kangirsuk,112.4319852,-7.4631537,1916529681,node,,,
Mojokerto,126.0386349,42.6812211,2518148508,node,,,
Huinan,25.7490365,-5.386666,1652176684,node,,,
Lubao,125.1662116,44.4310587,1087779699,node,,,
Nongan,-98.0899808,22.9203035,2375041192,node,,,
Aldama,-77.3038359,-11.4897081,3738017964,node,,,
Chancayllo,36.8147352,-17.5974233,4039019589,node,,,
Nicoadala,-79.7472907,-5.9881884,1419366273,node,,,
Olmos,121.5424229,50.6285419,2439964940,node,,,
Yitulihe,-64.009959,53.5328972,1552165061,node,,,
Churchill Falls,-128.133333,52.166667,1958909315,node,,,
New Bella Bella,105.0822248,10.0190027,52555886,node,,,
Rạch Giá,88.2704609,24.5954428,369487039,node,,,
Nawabganj,126.3046846,45.3662519,1429898284,node,,,
Shuangcheng,-62.6180302,-39.9165028,244081902,node,,,
Villalonga,-107.3636136,24.3234402,246571096,node,,,
Eldorado,123.1838404,47.3301299,4565425891,node,,,
Longjiang,22.9001014,-11.8921052,1595854621,node,,,
Cazombo,51.1336102,10.563487,561106241,node,,,
Hurdiyo,109.6825499,27.4456545,313933231,node,,,
Zhijiang,75.8097913,41.170237,1747422423,node,,,
At-Bashy,-104.5005411,37.169397,4132174115,node,,,
Trinidad,54.01943,12.6514637,151479029,node,,,
Hadiboh,-118.3946477,37.3650412,316791019,node,,,
Bishop,24.5157988,29.7410961,96907196,node,,,
Al Jaghbub,-14.4035258,65.2620412,1237297697,node,,,
Egilsstaðir,19.2043945,29.2213763,249086265,node,,,
Maradah,-55.1664074,-21.6103956,1239730812,node,,,
Maracaju,-90.0125913,34.9889818,415522867,node,,,
Southaven,-54.2567519,-24.0851924,151391897,node,,,
Guaira,53.3462955,47.646866,319170063,node,,,
Makat,-63.7320677,-17.4043859,253725107,node,,,
San Carlos,-54.1558671,-34.6641946,1764214876,node,,,
La Paloma,44.925521,31.992886,332286942,node,,,
Ad Diwania,35.7269843,32.0390779,2486529120,node,,,
Al Salt,39.865556,29.811944,802856870,node,,,
Dawmat al Jandal,35.3766095,33.5614232,1236739971,node,,,
Saida,55.5474977,25.5520435,4799206602,node,,,
Umm Al Quwain,-115.9903233,30.7322318,896422314,node,,,
Vicente Guerrero,127.66336,36.93852,3412106392,node,,,
Eumseongeup,126.085015,47.6059986,415157378,node,,,
Baiquan,27.3503744,41.4082521,244076302,node,,,
Lüleburgaz,-78.2995738,-9.473361,26505105,node,,,
Casma,121.999975,39.6304711,287835242,node,,,
Wafangdian,-79.717074,-6.1544303,244082003,node,,,
Motupe,125.6242544,39.412191,2441134174,node,,,
Sukchon,-82.2613078,22.8534109,343731139,node,,,
San Antonio de las Vegas,126.9615424,36.0792552,644455917,node,,,
Iksansi,109.9382821,34.7925262,415163283,node,,,
Dali,-71.3703633,-38.4535992,3013880328,node,,,
Lonquimay,51.6460307,35.3283255,214206682,node,,,
Varamin,125.3285572,46.4114331,3248971788,node,,,
Anda,125.09565,38.2526247,3373092558,node,,,
Jangyon,102.98816,35.4918235,2939066636,node,,,
Linxia,-99.992964,21.9316849,3409830338,node,,,
Río Verde,-55.5910775,49.958333,299677634,node,,,
LaScie,128.1568547,40.8183717,1525975527,node,,,
Kimhyonggwon,123.8024892,47.1526699,3744269234,node,,,
Ang'angxi,-111.666259,25.0337115,244084014,node,,,
Ciudad Constitucion,48.4835278,36.6682535,278820637,node,,,
Zanjan,-70.4105537,8.7559948,4441089805,node,,,
Barinitas,-116.516667,49.1,4587017313,node,,,
Creston,98.4955168,25.0322567,51972212,node,,,
Tengchong,130.2669756,45.2900691,244081806,node,,,
Linkou,-1.4043178,50.9026221,2329802059,node,,,
Southhampton,-99.6424888,22.0010307,4706451623,node,,,
Cárdenas,98.4898001,25.02312,301517091,node,,,
Tengchong,-82.2417609,9.3401835,469624694,node,,,
Bocas Del Toro,127.5256433,39.0434829,203998280,node,,,
Anbyon,-124.0585164,69.345038,4031249919,node,,,
Paulatuk,-61.824234,50.1838932,107350394,node,,,
Natashquan,45.3230242,15.4578788,3847175820,node,,,
Marib,-85.9980402,13.0892235,1217719218,node,,,
Jinotega,-86.0035122,13.0917158,4538712432,node,,,
Jinotega,-78.9466549,9.590992,4538717440,node,,,
El Porvenir,-86.0032287,13.0915468,931374701,node,,,
Jinotega,-5.7455384,6.9883959,4403309985,node,,,
Bouaflé,19.9580275,40.7019051,443317125,node,,,
Berat,8.7666667,58.4602778,4365580967,node,,,
Arendal,-2.1047639,11.0971341,31264073,node,,,
Leo,101.1595234,16.4165039,329970953,node,,,
Phetchabun,100.3708853,16.4384306,407997799,node,,,
Phichit,106.2094944,50.2358909,409975309,node,,,
Sukhbaatar,99.0069034,18.5776383,293460811,node,,,
Lamphun,47.8489094,40.9785932,306247723,node,,,
Gabala,33.9331264,1.4862082,244311735,node,,,
Kumi,19.8999196,42.0443365,4534154091,node,,,
Pukë,-14.2260818,12.2819517,728422866,node,,,
,35.5443509,33.8339155,1944642790,node,,,
Baabda,35.5441667,33.8338889,4752379521,node,,,
Baabda,48.0199351,29.3362942,564366498,node,,,
Hawally,42.3687433,11.1071149,4603691895,node,,,
Dikhil,-68.7119822,18.6127983,316809239,node,,,
Higüey,-91.1488573,15.0298757,250651118,node,,,
Santa Cruz del Quiche,-90.315432,15.105228,1039835176,node,,,
Salama,27.7022674,-30.4032829,1039836297,node,,,
Moyeni (Quthing),-76.4459288,18.1763606,243645756,node,,,
Port Antonio,48.0186863,29.3374587,3766096616,node,,,
Hawally,28.6810971,-30.113327,1759971885,node,,,
Qacha's Nek,-87.6777821,14.3204392,4654350286,node,,,
La Paz,100.4122174,20.2793074,308305777,node,,,
Houayxay,106.9736284,13.4998503,297975116,node,,,
Lumphat,,,256873929,node,,,
